463.0,476.0
552.0,251.0
640.0,910.0
26.0,827.0
621.0,1234.0
589.0,752.0
217.0,890.0
514.0,773.0
76.0,29.0
612.0,810.0
312.0,382.0
201.0,314.0
640.0,1307.0
650.0,381.0
74.0,144.0
26.0,1330.0
464.0,586.0
639.0,210.0
463.0,1087.0
155.0,961.0
18.0,1234.0
321.0,29.0
228.0,1457.0
252.0,584.0
501.0,492.0
658.0,467.0
53.0,1060.0
585.0,932.0
460.0,1036.0
220.0,541.0
614.0,783.0
344.0,45.0
63.0,1372.0
79.0,814.0
233.0,1093.0
140.0,353.0
521.0,33.0
236.0,349.0
461.0,1242.0
356.0,216.0
235.0,840.0
221.0,509.0
312.0,1396.0
583.0,983.0
124.0,418.0
546.0,527.0
619.0,1005.0
333.0,1297.0
552.0,1412.0
81.0,1117.0
11.0,525.0
599.0,1450.0
128.0,1228.0
354.0,88.0
18.0,1182.0
578.0,1163.0
50.0,1165.0
646.0,348.0
345.0,346.0
361.0,1434.0
34.0,210.0
113.0,1467.0
193.0,100.0
507.0,878.0
394.0,351.0
290.0,496.0
34.0,65.0
71.0,694.0
257.0,788.0
191.0,26.0
306.0,511.0
497.0,1278.0
38.0,107.0
302.0,1279.0
664.0,1326.0
673.0,626.0
524.0,1409.0
29.0,317.0
64.0,427.0
77.0,1151.0
521.0,82.0
315.0,1108.0
169.0,320.0
209.0,874.0
636.0,1014.0
429.0,372.0
523.0,510.0
2.0,924.0
385.0,719.0
161.0,1001.0
30.0,951.0
577.0,506.0
409.0,525.0
144.0,1307.0
641.0,687.0
121.0,856.0
644.0,105.0
33.0,1408.0
2.0,1414.0
4.0,301.0 
663.0,1460.0
670.0,549.0
608.0,416.0
510.0,208.0
553.0,267.0
61.0,1086.0
548.0,894.0
400.0,389.0
656.0,637.0
92.0,438.0
595.0,451.0
142.0,283.0
281.0,1481.0
628.0,394.0
415.0,701.0
618.0,1322.0
601.0,1185.0
639.0,776.0
572.0,583.0
351.0,1418.0
299.0,629.0
4.0,212.0
611.0,701.0
537.0,562.0
322.0,1025.0
65.0,236.0
514.0,304.0
360.0,28.0
478.0,818.0
455.0,402.0
398.0,823.0
624.0,1211.0
148.0,431.0
443.0,1256.0
419.0,838.0
597.0,433.0
328.0,130.0
239.0,1047.0
24.0,616.0
328.0,250.0
187.0,1016.0
598.0,223.0
387.0,1173.0
547.0,998.0
526.0,888.0
89.0,723.0
232.0,579.0
498.0,1189.0
112.0,1253.0
4.0,807.0
